Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
user serach,172,22305,26881,30366,33915,38086,2445,45804,0.000%,1.95877,40.02,0.34
user get,100,35049,35881,38445,38871,39031,26677,39093,0.000%,1.40410,1.16,0.23
TOTAL,272,26990,27893,37967,38276,39031,2445,45804,0.000%,3.09760,40.97,0.53
