Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
user register,238,33607,40143,42195,42531,43411,3341,43632,0.000%,2.38331,0.79,1.05
TOTAL,238,33607,40143,42195,42531,43411,3341,43632,0.000%,2.38331,0.79,1.05
