Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
dialog list,73,11054,4320,47762,59999,60001,1946,60003,6.849%,.81113,6.29,0.84
TOTAL,73,11054,4320,47762,59999,60001,1946,60003,6.849%,.81113,6.29,0.84
