Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
dialog list,100,4145,4137,5291,5508,5801,1730,5893,0.000%,2.21508,0.75,2.30
TOTAL,100,4145,4137,5291,5508,5801,1730,5893,0.000%,2.21508,0.75,2.30
