Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,164,51379,60000,60003,60009,60011,17095,60016,60.366%,1.37363,80.50,0.20
TOTAL,164,51379,60000,60003,60009,60011,17095,60016,60.366%,1.37363,80.50,0.20
