Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,25,2425,2564,3218,4383,5038,1190,5038,0.000%,.41223,7.92,0.07
TOTAL,25,2425,2564,3218,4383,5038,1190,5038,0.000%,.41223,7.92,0.07
