Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,1153,54716,60000,60001,60001,60010,2114,60020,81.526%,9.64289,22.98,1.55
TOTAL,1153,54716,60000,60001,60001,60010,2114,60020,81.526%,9.64289,22.98,1.55
