Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,214,2866,2880,3381,3488,4063,1287,4341,0.000%,3.38860,54.62,0.59
TOTAL,214,2866,2880,3381,3488,4063,1287,4341,0.000%,3.38860,54.62,0.59
