Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,1198,56575,60000,60001,60002,60008,3800,60016,86.811%,2.31237,30.92,0.35
TOTAL,1198,56575,60000,60001,60002,60008,3800,60016,86.811%,2.31237,30.92,0.35
