Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,100,6296,6264,7106,7344,7559,3781,8164,0.000%,1.53088,94.97,0.26
TOTAL,100,6296,6264,7106,7344,7559,3781,8164,0.000%,1.53088,94.97,0.26
