Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,18,3480,3207,4870,5131,5543,2049,5543,0.000%,.28732,4.24,0.05
TOTAL,18,3480,3207,4870,5131,5543,2049,5543,0.000%,.28732,4.24,0.05
