Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,530,14958,15216,27463,27736,28371,1287,28637,0.000%,2.30084,30.99,0.40
TOTAL,530,14958,15216,27463,27736,28371,1287,28637,0.000%,2.30084,30.99,0.40
